,word,df1,df2,df3,df4,df5,df6,df7,df8,df9,df10,df11,df12,df13,df14,df15,df16,df17,df18,df19,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df50,idf
0,the,6.988961,8.015713,6.5093884,5.804021,4.7841897,5.543295,5.4998097,6.293305,5.8520303,6.1357985,6.209486,5.543295,5.65396,5.406719,5.75359,5.564348,5.158883,4.8918204,5.4426513,6.123964,5.787492,6.0998664,6.7365723,5.4308167,6.817111,6.2832036,5.634729,5.5108595,5.356709,5.5108595,5.7004805,5.8520303,6.09375,6.5174527,5.7957907,5.304065,5.5849676,5.0430512,5.3694477,4.637586,5.189655,4.610918,5.7184987,5.2341065,5.26268,4.8501477,4.9318256,4.7376695,5.0943446,3.0794415,0.0
1,album,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0794415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
2,kraterov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
3,titular,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0986123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.218876
4,councillor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3862944,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3025851
5,a,6.4930615,7.4118185,6.056246,5.1271343,5.394449,4.583519,5.317488,5.75359,4.7376695,4.912023,5.5217886,4.7841897,4.583519,5.189655,4.7841897,5.2341065,5.158883,3.944439,5.2904596,5.454347,5.3307333,5.624973,6.170484,4.988984,6.4161005,5.7791233,5.1743875,5.204693,4.8918204,4.9318256,5.4308167,5.0073333,5.0775375,5.248495,5.1271343,4.9318256,4.8501477,5.0253515,5.0073333,3.9957323,4.295837,4.951244,5.0775375,4.713572,4.7376695,4.4965076,4.555348,4.637586,4.8918204,2.0986123,0.0
6,thin,0.0,2.3862944,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438
7,and,6.918894,7.8679743,6.288267,5.1108737,5.1271343,5.0430512,5.2195077,5.828314,5.4426513,5.5849676,5.624973,4.9318256,4.8501477,5.0775375,5.4426513,5.248495,5.0430512,3.1972246,4.912023,5.4188404,5.304065,5.6728287,6.4071717,5.158883,6.918894,5.934474,5.0430512,5.1743875,4.912023,5.189655,5.4886365,4.951244,5.248495,5.406719,5.304065,4.7612,5.060443,4.7841897,5.1108737,4.465736,4.637586,4.295837,5.0253515,4.610918,4.7376695,4.5263605,4.610918,4.663562,4.7612,2.3862944,0.0
8,slender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
9,admiralti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.912023
